Market,Parameter,Year_Label,Year,QV_Value,Percentage
Japan,Q - Quantity in Metric Tonnes,2003-04,2003,50020.0,12.14
Japan,Q - Quantity in Metric Tonnes,2004-05,2004,57832.0,12.54
Japan,Q - Quantity in Metric Tonnes,2005-06,2005,59785.0,11.67
Japan,Q - Quantity in Metric Tonnes,2006-07,2006,67437.0,11.01
Japan,Q - Quantity in Metric Tonnes,2007-08,2007,67373.0,12.44
Japan,Q - Quantity in Metric Tonnes,2008-09,2008,57271.0,9.5
Japan,Q - Quantity in Metric Tonnes,2009-10,2009,62690.0,9.24
Japan,Q - Quantity in Metric Tonnes,2010-11,2010,70714.0,8.7
Japan,Q - Quantity in Metric Tonnes,2011-12,2011,85800.0,9.95
Japan,Q - Quantity in Metric Tonnes,2012-13,2012,76648.0,8.26
Japan,Q - Quantity in Metric Tonnes,2013-14,2013,71484.0,7.27
Japan,V - Value in Rs. Crores,2003-04,2003,1163.69,19.1
Japan,V - Value in Rs. Crores,2004-05,2004,1202.5,18.09
Japan,V - Value in Rs. Crores,2005-06,2005,1156.0,15.96
Japan,V - Value in Rs. Crores,2006-07,2006,1353.38,16.18
Japan,V - Value in Rs. Crores,2007-08,2007,1227.59,16.11
Japan,V - Value in Rs. Crores,2008-09,2008,1234.01,14.34
Japan,V - Value in Rs. Crores,2009-10,2009,1289.58,12.83
Japan,V - Value in Rs. Crores,2010-11,2010,1683.39,13.05
Japan,V - Value in Rs. Crores,2011-12,2011,2140.67,12.9
Japan,V - Value in Rs. Crores,2012-13,2012,1999.59,10.6
Japan,V - Value in Rs. Crores,2013-14,2013,2463.83,8.15
U. S. A,Q - Quantity in Metric Tonnes,2003-04,2003,53153.0,12.9
U. S. A,Q - Quantity in Metric Tonnes,2004-05,2004,50045.0,10.85
U. S. A,Q - Quantity in Metric Tonnes,2005-06,2005,55817.0,10.9
U. S. A,Q - Quantity in Metric Tonnes,2006-07,2006,43761.0,7.14
U. S. A,Q - Quantity in Metric Tonnes,2007-08,2007,36613.0,6.76
U. S. A,Q - Quantity in Metric Tonnes,2008-09,2008,36877.0,6.12
U. S. A,Q - Quantity in Metric Tonnes,2009-10,2009,33444.0,4.93
U. S. A,Q - Quantity in Metric Tonnes,2010-11,2010,50095.0,6.16
U. S. A,Q - Quantity in Metric Tonnes,2011-12,2011,68354.0,7.93
U. S. A,Q - Quantity in Metric Tonnes,2012-13,2012,92447.0,9.96
U. S. A,Q - Quantity in Metric Tonnes,2013-14,2013,110880.0,11.27
U. S. A,V - Value in Rs. Crores,2003-04,2003,1682.06,27.61
U. S. A,V - Value in Rs. Crores,2004-05,2004,1556.1,23.41
U. S. A,V - Value in Rs. Crores,2005-06,2005,1639.2,22.62
U. S. A,V - Value in Rs. Crores,2006-07,2006,1347.8,16.12
U. S. A,V - Value in Rs. Crores,2007-08,2007,1016.94,13.34
U. S. A,V - Value in Rs. Crores,2008-09,2008,1021.55,11.87
U. S. A,V - Value in Rs. Crores,2009-10,2009,1012.52,10.08
U. S. A,V - Value in Rs. Crores,2010-11,2010,1990.26,15.43
U. S. A,V - Value in Rs. Crores,2011-12,2011,2977.53,17.94
U. S. A,V - Value in Rs. Crores,2012-13,2012,4026.48,21.35
U. S. A,V - Value in Rs. Crores,2013-14,2013,7744.67,25.63
European Union,Q - Quantity in Metric Tonnes,2003-04,2003,96284.0,23.37
European Union,Q - Quantity in Metric Tonnes,2004-05,2004,117742.0,25.52
European Union,Q - Quantity in Metric Tonnes,2005-06,2005,136842.0,26.72
European Union,Q - Quantity in Metric Tonnes,2006-07,2006,149773.0,24.45
European Union,Q - Quantity in Metric Tonnes,2007-08,2007,149381.0,27.58
European Union,Q - Quantity in Metric Tonnes,2008-09,2008,151590.0,25.15
European Union,Q - Quantity in Metric Tonnes,2009-10,2009,164800.0,24.29
European Union,Q - Quantity in Metric Tonnes,2010-11,2010,170963.0,21.03
European Union,Q - Quantity in Metric Tonnes,2011-12,2011,154221.0,17.89
European Union,Q - Quantity in Metric Tonnes,2012-13,2012,158357.0,17.06
European Union,Q - Quantity in Metric Tonnes,2013-14,2013,174686.0,17.76
European Union,V - Value in Rs. Crores,2003-04,2003,1470.99,24.15
European Union,V - Value in Rs. Crores,2004-05,2004,1819.3,27.37
European Union,V - Value in Rs. Crores,2005-06,2005,2134.2,29.46
European Union,V - Value in Rs. Crores,2006-07,2006,2760.32,33.0
