Market,Parameter,Year_Label,Year,QV_Value,Percentage,Market_Encoded,Parameter_Encoded,Lag_1,Lag_2,Rolling_Mean_3
European Union,Q - Quantity in Metric Tonnes,2005-06,2005,136842.0,26.72,0,0,117742.0,96284.0,116956.0
European Union,Q - Quantity in Metric Tonnes,2006-07,2006,149773.0,24.45,0,0,136842.0,117742.0,134785.66666666666
European Union,Q - Quantity in Metric Tonnes,2007-08,2007,149381.0,27.58,0,0,149773.0,136842.0,145332.0
European Union,Q - Quantity in Metric Tonnes,2008-09,2008,151590.0,25.15,0,0,149381.0,149773.0,150248.0
European Union,Q - Quantity in Metric Tonnes,2009-10,2009,164800.0,24.29,0,0,151590.0,149381.0,155257.0
European Union,Q - Quantity in Metric Tonnes,2010-11,2010,170963.0,21.03,0,0,164800.0,151590.0,162451.0
European Union,Q - Quantity in Metric Tonnes,2011-12,2011,154221.0,17.89,0,0,170963.0,164800.0,163328.0
European Union,Q - Quantity in Metric Tonnes,2012-13,2012,158357.0,17.06,0,0,154221.0,170963.0,161180.33333333334
European Union,Q - Quantity in Metric Tonnes,2013-14,2013,174686.0,17.76,0,0,158357.0,154221.0,162421.33333333334
European Union,V - Value in Rs. Crores,2005-06,2005,2134.2,29.46,0,1,1819.3,1470.99,1808.1633333333332
European Union,V - Value in Rs. Crores,2006-07,2006,2760.32,33.0,0,1,2134.2,1819.3,2237.94
European Union,V - Value in Rs. Crores,2007-08,2007,2664.24,34.96,0,1,2760.32,2134.2,2519.5866666666666
European Union,V - Value in Rs. Crores,2008-09,2008,2799.96,32.53,0,1,2664.24,2760.32,2741.5066666666667
European Union,V - Value in Rs. Crores,2009-10,2009,3013.33,29.99,0,1,2799.96,2664.24,2825.8433333333337
European Union,V - Value in Rs. Crores,2010-11,2010,3459.4,26.81,0,1,3013.33,2799.96,3090.896666666667
European Union,V - Value in Rs. Crores,2011-12,2011,3810.44,22.96,0,1,3459.4,3013.33,3427.7233333333334
European Union,V - Value in Rs. Crores,2012-13,2012,4176.42,22.15,0,1,3810.44,3459.4,3815.42
European Union,V - Value in Rs. Crores,2013-14,2013,6129.69,20.29,0,1,4176.42,3810.44,4705.516666666666
Japan,Q - Quantity in Metric Tonnes,2005-06,2005,59785.0,11.67,1,0,57832.0,50020.0,55879.0
Japan,Q - Quantity in Metric Tonnes,2006-07,2006,67437.0,11.01,1,0,59785.0,57832.0,61684.666666666664
Japan,Q - Quantity in Metric Tonnes,2007-08,2007,67373.0,12.44,1,0,67437.0,59785.0,64865.0
Japan,Q - Quantity in Metric Tonnes,2008-09,2008,57271.0,9.5,1,0,67373.0,67437.0,64027.0
Japan,Q - Quantity in Metric Tonnes,2009-10,2009,62690.0,9.24,1,0,57271.0,67373.0,62444.666666666664
Japan,Q - Quantity in Metric Tonnes,2010-11,2010,70714.0,8.7,1,0,62690.0,57271.0,63558.333333333336
Japan,Q - Quantity in Metric Tonnes,2011-12,2011,85800.0,9.95,1,0,70714.0,62690.0,73068.0
Japan,Q - Quantity in Metric Tonnes,2012-13,2012,76648.0,8.26,1,0,85800.0,70714.0,77720.66666666667
Japan,Q - Quantity in Metric Tonnes,2013-14,2013,71484.0,7.27,1,0,76648.0,85800.0,77977.33333333333
Japan,V - Value in Rs. Crores,2005-06,2005,1156.0,15.96,1,1,1202.5,1163.69,1174.0633333333333
Japan,V - Value in Rs. Crores,2006-07,2006,1353.38,16.18,1,1,1156.0,1202.5,1237.2933333333333
Japan,V - Value in Rs. Crores,2007-08,2007,1227.59,16.11,1,1,1353.38,1156.0,1245.6566666666668
Japan,V - Value in Rs. Crores,2008-09,2008,1234.01,14.34,1,1,1227.59,1353.38,1271.66
Japan,V - Value in Rs. Crores,2009-10,2009,1289.58,12.83,1,1,1234.01,1227.59,1250.3933333333332
Japan,V - Value in Rs. Crores,2010-11,2010,1683.39,13.05,1,1,1289.58,1234.01,1402.3266666666668
Japan,V - Value in Rs. Crores,2011-12,2011,2140.67,12.9,1,1,1683.39,1289.58,1704.5466666666669
